server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,key_point,p1_recent_score,p2_recent_score,p1_first_serve_rate,p2_first_serve_rate,p1_second_serve_rate,p2_second_serve_rate,p1_serve_points_won_rate,p2_serve_points_won_rate,p1_aces_rate,p2_aces_rate,p1_break_point_rate,p2_break_point_rate,p1_score,p2_score,sw_2,sw_3,sw_4,sw_5,sw_6,sd_2,sd_3,rd_2,rd_3
1,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,7.84,2,95,0,0,0,0,.6,1,.85,0,.66,0,.086,.3,1,0,0,1,0,0,0,0,0,1,0,1
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118,0,0,1,.5,.6,1,.85,.5,.66,0,.086,.3,.5,1,0,0,0,0,0,0,0,0,0,1
1,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120,0,1,1,.666666667,.6,1,.85,.333333333,.66,0,.086,.3,.666666667,1,1,0,0,0,0,0,0,1,0,0
1,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51.108,75.631,13,130,0,1,2,.75,.6,1,.85,.5,.66,0,.086,.3,.5,2,1,0,1,0,0,0,0,0,0,0
1,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.649,.813,1,112,0,2,2,.8,.6,1,.85,.6,.66,.2,.086,.3,.4,3,1,0,0,0,0,1,0,1,1,0
1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,97,1,3,2,.666666667,.6,1,.85,.5,.66,.166666667,.086,.3,.5,3,2,0,1,0,0,0,0,1,0,1
1,1,1,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,109,1,3,2,.714285714,.6,1,.85,.571428571,.66,.285714286,.086,.3,.428571429,4,2,0,0,0,0,1,0,0,0,0
1,2,2,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17.503,18.067,6,105,1,3,2,.625,.6,1,.85,.5,.66,.25,.086,.3,.5,4,3,0,0,0,0,0,0,1,0,1
1,1,1,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34.489,24.594,7,128,1,3,2,.666666667,.6,1,.85,.555555556,.66,.222222222,.086,.3,.444444444,5,3,1,0,0,0,0,0,0,0,0
1,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,110,1,3,2,.7,.6,1,.85,.6,.66,.2,.086,.3,.4,6,3,0,0,0,0,0,0,1,0,1
