PCA1,PCA2,PCA3,PCA4,PCA5
0.313166667,0.616666667,0.6005,-0.171166667,-0.191166667
0.489698198,0.536927928,0.555211712,-0.25295045,-0.206364865
0.4895,0.277,0.459833333,-0.310833333,-0.244166667
0.721031532,0.389927928,0.589211712,-0.264617117,-0.268364865
0.86722973,0.243855856,0.750256757,-0.014734234,-0.280896396
0.888031532,0.390927928,0.869878378,-0.010283784,-0.284698198
1.010896396,0.371855856,0.85359009,0.220599099,-0.274896396
0.768364865,0.492594595,0.730211712,-0.015283784,-0.276364865
0.98422973,0.551189189,0.55659009,-0.179067568,-0.411563063
0.877761261,0.70245045,0.374301802,-0.438518018,-0.390761261
0.767765766,0.803630631,0.397855856,-0.363558559,-0.367765766
0.627630631,0.883225225,0.509567568,-0.160342342,-0.176963964
0.535828829,0.931153153,0.604612613,-0.148459459,-0.119162162
0.515963964,0.928558559,0.615234234,-0.143675676,-0.123297297
0.399765766,0.900630631,0.663522523,-0.124891892,-0.141432432
0.470963964,0.965558559,0.544234234,-0.083342342,-0.157630631
0.451099099,0.962963964,0.554855856,-0.078558559,-0.161765766
0.431234234,0.960369369,0.565477477,-0.073774775,-0.165900901
0.5765,0.643,0.8435,0.069166667,-0.1935
0.753031532,0.563261261,0.798211712,-0.012617117,-0.208698198
0.7935,0.453,0.811833333,-0.070833333,-0.246166667
0.687031532,0.604261261,0.629545045,-0.330283784,-0.225364865
0.75822973,0.669189189,0.510256757,-0.288734234,-0.241563063
0.627432432,0.623297297,0.414189189,-0.218225225,-0.214765766
0.450900901,0.703036036,0.459477477,-0.136441441,-0.199567568
0.223036036,0.720441441,0.613432432,-0.100990991,-0.164036036
0.243837838,0.867513514,0.733054054,-0.096540541,-0.167837838
0.524833333,0.727,0.7405,-0.120166667,-0.2195
0.701364865,0.647261261,0.695211712,-0.20195045,-0.234698198
0.92622973,0.535855856,0.633256757,-0.475067568,-0.382896396
0.694698198,0.422927928,0.503878378,-0.521283784,-0.358698198
0.5785,0.395,0.552166667,-0.5025,-0.376833333
0.373301802,0.249072072,0.508121622,-0.29204955,-0.262301802
0.629833333,0.457333333,0.4435,-0.456166667,-0.397166667
0.845698198,0.515927928,0.269878378,-0.61995045,-0.532364865
0.816099099,0.771963964,0.381189189,-0.554891892,-0.500765766
0.675963964,0.851558559,0.492900901,-0.351675676,-0.309963964
0.399765766,0.900630631,0.663522523,-0.124891892,-0.141432432
0.379900901,0.898036036,0.674144144,-0.120108108,-0.145567568
0.263702703,0.870108108,0.722432432,-0.101324324,-0.163702703
0.524833333,0.727,0.7405,-0.120166667,-0.2195
0.701364865,0.647261261,0.695211712,-0.20195045,-0.234698198
0.952563063,0.502855856,0.71859009,-0.218400901,-0.292563063
0.761698198,0.539594595,0.698211712,-0.26495045,-0.268031532
0.832896396,0.604522523,0.578923423,-0.223400901,-0.28422973
0.571765766,0.747630631,0.560855856,-0.204558559,-0.228432432
0.627630631,0.883225225,0.509567568,-0.160342342,-0.176963964
0.399765766,0.900630631,0.663522523,-0.124891892,-0.141432432
0.515963964,0.928558559,0.615234234,-0.143675676,-0.123297297
0.610495495,0.866486486,0.673279279,-0.083126126,-0.161828829
0.839027027,1.217747748,-0.014675676,0.285423423,-0.311027027
0.885364865,1.120261261,0.006878378,0.15304955,-0.056698198
0.754833333,1.049333333,-0.0105,0.0435,-0.0655
0.758364865,0.637594595,0.613545045,-0.49295045,0.370635135
0.6065,0.593,0.669833333,-0.392833333,0.0545
0.806698198,0.605927928,0.596878378,-0.684283784,0.237635135
0.614166667,0.411666667,0.544166667,-0.583833333,-0.078833333
0.817364865,0.518594595,0.379211712,-0.637617117,0.216968468
0.617166667,0.505666667,0.452166667,-0.346166667,0.033833333
0.637968468,0.652738739,0.571788288,-0.341716216,0.030031532
0.7325,0.590666667,0.629833333,-0.281166667,-0.0085
0.935698198,0.697594595,0.464878378,-0.33495045,0.287301802
1.18722973,0.772855856,0.283256757,-0.580067568,0.450103604
0.832477477,0.836099099,0.385396396,-0.524630631,0.226855856
