match_id,set_no,game_no,point_no,1是否是发球方,1winner得分,1非受迫失分,1网前得分,1近3球得分,1总体分差,1关键分,1关键局,1破发点,1ACE,1双误,1发球成功数,,pca1,pca2,pca3,pca4,pca5,pca6
2023-wimbledon-1301,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,,,,,,
2023-wimbledon-1301,1,1,2,1,0,1,0,1,0.6,0,0,0,0,0,2,,,,,,,
2023-wimbledon-1301,1,1,3,1,0,2,0,1,0,0,0,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,1,4,1,1,1,0,2,0.6,0,0,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,1,5,1,2,1,0,2,1.2,0,0,0,1,0,3,,,,,,,
2023-wimbledon-1301,1,1,6,1,2,0,0,2,0.6,0,0,0,1,0,3,,,,,,,
2023-wimbledon-1301,1,1,7,1,2,0,0,2,1.2,1,0,0,2,0,3,,,,,,,
2023-wimbledon-1301,1,1,8,1,1,0,0,1,0.6,1,0,0,1,0,3,,,,,,,
2023-wimbledon-1301,1,1,9,1,1,0,1,2,1.2,2,0,0,1,0,3,,,,,,,
2023-wimbledon-1301,1,1,10,1,0,0,1,2,1.8,2,0,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,2,11,0,0,0,1,2,0.3,2,0,0,0,0,2,,,,,,,
2023-wimbledon-1301,1,2,12,0,0,0,0,2,0.9,1,0,0,0,0,1,,,,,,,
2023-wimbledon-1301,1,2,13,0,0,0,0,2,1.5,0,0,0,0,0,0,,,,,,,
2023-wimbledon-1301,1,2,14,0,0,0,0,2,0.9,0,0,0,0,0,0,,,,,,,
2023-wimbledon-1301,1,2,15,0,0,0,0,1,0.3,0,0,0,0,0,0,,,,,,,
2023-wimbledon-1301,1,2,16,0,0,0,0,1,0.9,1,0,0,0,0,0,,,,,,,
2023-wimbledon-1301,1,2,17,0,0,0,0,1,0.3,1,0,0,0,0,0,,,,,,,
2023-wimbledon-1301,1,2,18,0,0,0,0,1,-0.3,1,0,0,0,0,0,,,,,,,
2023-wimbledon-1301,1,3,19,1,1,0,0,1,0,0,0,0,1,0,1,,,,,,,
2023-wimbledon-1301,1,3,20,1,1,0,0,2,0.6,0,0,0,1,0,2,,,,,,,
2023-wimbledon-1301,1,3,21,1,1,0,0,2,0,0,0,0,1,0,3,,,,,,,
2023-wimbledon-1301,1,3,22,1,0,0,0,2,0.6,0,0,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,3,23,1,0,0,0,2,1.2,1,0,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,4,24,0,0,1,0,2,0.3,1,0,0,0,0,2,,,,,,,
2023-wimbledon-1301,1,4,25,0,0,1,0,1,-0.3,1,0,0,0,0,1,,,,,,,
2023-wimbledon-1301,1,4,26,0,0,1,0,0,-0.9,0,0,0,0,0,0,,,,,,,
2023-wimbledon-1301,1,4,27,0,0,0,0,0,-1.5,0,0,0,0,0,0,,,,,,,
2023-wimbledon-1301,1,5,28,1,1,0,0,1,0,0,0,0,0,0,1,,,,,,,
2023-wimbledon-1301,1,5,29,1,1,0,0,2,0.6,0,0,0,0,0,2,,,,,,,
2023-wimbledon-1301,1,5,30,1,1,0,1,3,1.2,0,0,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,5,31,1,0,1,1,2,0.6,0,0,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,5,32,1,0,1,1,1,0,0,0,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,5,33,1,0,2,0,0,-0.6,0,0,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,5,34,1,0,1,1,1,0,1,0,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,5,35,1,0,1,2,2,0.6,2,0,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,6,36,0,0,0,2,2,0.3,2,0,0,0,0,2,,,,,,,
2023-wimbledon-1301,1,6,37,0,0,0,1,2,0.9,1,0,0,0,0,1,,,,,,,
2023-wimbledon-1301,1,6,38,0,0,0,0,1,0.3,0,0,0,0,0,0,,,,,,,
2023-wimbledon-1301,1,6,39,0,0,0,0,1,-0.3,0,0,0,0,0,0,,,,,,,
2023-wimbledon-1301,1,6,40,0,0,0,0,0,-0.9,0,0,0,0,0,0,,,,,,,
2023-wimbledon-1301,1,7,41,1,1,0,0,1,0,0,0,0,0,0,1,,,,,,,
2023-wimbledon-1301,1,7,42,1,1,0,0,2,0.6,0,0,0,0,0,2,,,,,,,
2023-wimbledon-1301,1,7,43,1,2,0,0,3,1.2,0,0,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,7,44,1,1,0,0,2,0.6,0,0,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,7,45,1,1,0,0,2,1.2,1,0,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,8,46,0,0,0,0,1,0.3,1,0,0,0,0,2,,,,,,,
2023-wimbledon-1301,1,8,47,0,0,0,0,2,0.9,1,0,0,0,0,1,,,,,,,
2023-wimbledon-1301,1,8,48,0,0,0,0,1,0.3,0,0,0,0,0,0,,,,,,,
2023-wimbledon-1301,1,8,49,0,0,0,0,2,0.9,0,0,0,0,0,0,,,,,,,
2023-wimbledon-1301,1,8,50,0,1,0,0,2,1.5,0,0,0,0,0,0,,,,,,,
2023-wimbledon-1301,1,8,51,0,1,0,0,3,2.1,1,0,1,0,0,0,,,,,,,
2023-wimbledon-1301,1,9,52,1,1,0,0,3,0.6,1,1,1,0,0,1,,,,,,,
2023-wimbledon-1301,1,9,53,1,0,0,0,2,0,1,1,1,0,0,2,,,,,,,
2023-wimbledon-1301,1,9,54,1,0,0,0,2,0.6,0,2,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,9,55,1,0,0,0,1,0,0,1,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,9,56,1,0,0,1,2,0.6,0,2,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,9,57,1,0,1,1,1,0,0,1,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,9,58,1,0,1,1,2,0.6,1,2,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,9,59,1,0,1,0,1,0,1,1,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,9,60,1,0,0,0,1,-0.6,1,1,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,9,61,1,1,0,0,1,0,1,1,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,9,62,1,1,0,0,2,0.6,2,2,0,0,0,3,,,,,,,
2023-wimbledon-1301,1,9,63,1,1,0,1,3,1.2,3,3,0,0,0,3,,,,,,,
2023-wimbledon-1301,2,1,64,0,0,0,1,2,0.1,2,2,0,0,0,2,,,,,,,
2023-wimbledon-1301,2,1,65,0,0,0,1,1,-0.5,1,1,0,0,0,1,,,,,,,
2023-wimbledon-1301,2,1,66,0,0,0,0,0,-1.1,0,0,0,0,0,0,,,,,,,
