point_victor,RM1,point_victor1
2,0.505679838,0
2,0.482884794,0
2,0.414482637,0
1,0.467388479,1
2,0.429186983,0
1,0.511921145,1
1,0.53326189,1
1,0.599591116,1
1,0.646212239,1
1,0.656307142,1
2,0.568204248,0
1,0.589400965,1
2,0.481785152,0
1,0.677857232,1
1,0.738554804,1
1,0.778792569,1
1,0.690149819,1
2,0.508980703,0
1,0.559520591,1
1,0.580879145,1
2,0.580676826,0
1,0.560845945,1
1,0.572330185,1
2,0.563197766,0
2,0.466694689,0
1,0.473206116,1
1,0.594039699,1
2,0.600959765,0
2,0.49965365,0
2,0.377064763,0
1,0.468141438,1
1,0.558779114,1
1,0.654389082,1
2,0.519053754,0
1,0.560040557,1
1,0.58757754,1
2,0.606808175,0
1,0.598346108,1
2,0.503560921,0
2,0.518078654,0
2,0.42632149,0
1,0.480926899,1
2,0.449628014,0
1,0.509541107,1
2,0.433874969,0
1,0.508980703,1
2,0.427109182,0
1,0.508546546,1
1,0.55039926,1
1,0.704033802,1
2,0.606993074,0
2,0.504525815,0
2,0.325433227,0
1,0.494000671,1
1,0.611647261,1
2,0.632839473,0
1,0.623377906,1
2,0.439588399,0
2,0.43141084,0
1,0.414381666,1
1,0.560178256,1
2,0.56056245,0
1,0.586100032,1
1,0.62530928,1
2,0.637001378,0
2,0.569113581,0
1,0.549363626,1
2,0.557880385,0
2,0.461410619,0
1,0.429015693,1
1,0.486316853,1
1,0.634581275,1
1,0.654552393,1
2,0.559066834,0
2,0.430026108,0
2,0.370261479,0
2,0.368172131,0
2,0.37900267,0
2,0.255793956,0
2,0.234120013,0
1,0.446961927,1
1,0.582892445,1
2,0.541990441,0
1,0.551496163,1
2,0.460866602,0
1,0.58026526,1
2,0.486548712,0
2,0.500247394,0
1,0.551549466,1
2,0.499944207,0
2,0.47713222,0
1,0.454029433,1
2,0.443028209,0
1,0.492237934,1
1,0.526065014,1
2,0.505188786,0
2,0.440530965,0
2,0.345349212,0
2,0.343521803,0
2,0.359661377,0
2,0.322910853,0
2,0.31353008,0
1,0.468794251,1
1,0.654681247,1
1,0.844694633,1
2,0.596289096,0
2,0.404943855,0
1,0.342992863,1
1,0.471038589,1
2,0.505565045,0
2,0.431843563,0
2,0.233247179,0
2,0.274088188,0
2,0.320947257,0
2,0.368914455,0
2,0.409734546,0
2,0.354947455,0
1,0.477518138,1
1,0.516114292,1
1,0.627791071,1
1,0.630066398,1
2,0.572372391,0
1,0.640198273,1
2,0.494859234,0
2,0.462650898,0
2,0.381710205,0
1,0.508624351,1
1,0.56836016,1
1,0.63074293,1
1,0.602559675,1
2,0.544058838,0
1,0.52831363,1
2,0.515202421,0
2,0.514097439,0
2,0.442849186,0
2,0.421643648,0
1,0.46191989,1
1,0.558286563,1
1,0.657859174,1
1,0.701150016,1
2,0.603653734,0
2,0.528805863,0
2,0.433206113,0
1,0.517536963,1
2,0.481326326,0
2,0.428646505,0
2,0.324515785,0
1,0.462822497,1
1,0.588968874,1
1,0.678959578,1
1,0.671653371,1
2,0.542296533,0
1,0.595977553,1
1,0.648767712,1
2,0.640232222,0
2,0.495196313,0
2,0.336498081,0
1,0.45612234,1
1,0.543798371,1
1,0.683439819,1
1,0.699708124,1
1,0.665020087,1
2,0.583981501,0
1,0.633417493,1
2,0.511129157,0
1,0.615885861,1
2,0.435891392,0
1,0.587783126,1
2,0.438834856,0
2,0.464808289,0
1,0.473718565,1
2,0.504947392,0
2,0.495267658,0
1,0.496175689,1
1,0.551107752,1
1,0.656254855,1
1,0.644892489,1
1,0.634446272,1
1,0.620813915,1
2,0.564556908,0
2,0.528942478,0
2,0.456305668,0
2,0.441138576,0
1,0.524036606,1
2,0.501764665,0
1,0.594920504,1
1,0.604709843,1
1,0.691056767,1
2,0.586674672,0
2,0.536178095,0
2,0.420666101,0
2,0.412817046,0
1,0.489345423,1
1,0.569973892,1
1,0.666575951,1
1,0.637129333,1
2,0.529801913,0
1,0.573190224,1
2,0.512261332,0
2,0.561991544,0
1,0.585989303,1
2,0.517287352,0
1,0.556990921,1
1,0.489710179,1
1,0.6196889,1
1,0.637129333,1
1,0.691156572,1
2,0.57963928,0
2,0.472860257,0
2,0.330883545,0
2,0.32426986,0
1,0.476185852,1
1,0.576232392,1
1,0.714913315,1
1,0.740479832,1
