x1 x2 x3 x4 x5 x6 x7 x8 x9
1 11.09 0.21 0.05 96.98 70.53 1.86 -44.04 81.99
2 11.96 0.59 0.74 51.78 90.73 4.95 7.02 16.11
3 0 0.03 0.03 181.99 100 -2.98 103.33 21.18
4 11.58 0.13 0.17 46.07 92.18 1.14 6.55 -56.32
5 -6.19 -0.09 0.03 43.3 82.24 1.52 -1713.5 -3.36
6 10 0.47 0.48 68.4 86 4.7 -11.56 0.85
7 10.49 0.11 0.35 82.98 99.87 1.02 100.23 30.32
8 11.12 -1.69 0.12 132.14 100 -0.66 -4454.39 -62.75
9 3.41 0.04 0.2 67.86 98.51 1.25 -11.25 -11.43
10 1.16 0.01 0.54 43.7 100 1.03 -87.18 -7.41
11 30.22 0.16 0.4 87.36 94.88 0.53 729.41 -9.97
12 8.19 0.22 0.38 30.31 100 2.73 -12.31 -2.77
13 95.79 -5.2 0.5 252.34 99.34 -5.42 -9816.52 -46.82
14 16.55 0.35 0.93 72.31 84.05 2.14 115.95 123.41
15 -24.18 -1.16 0.79 56.26 97.8 4.81 -533.89 -27.74
